ID;full_address;city;address;place;category
16455;Саранск, ул. Степана Разина,17, Регистрационная палата;Саранск;ул. Степана Разина,17;Регистрационная палата;З/П
31522;Озерный(Явас), ул. Центральная, 14в, м-н ООО Сарова;Озерный(Явас);ул. Центральная, 14в;м-н ООО Сарова;Вне ВСП
71487;Ковылкино, ул.Фролова,16, ТЦ 'Радуга';Ковылкино;ул.Фролова,16;ТЦ 'Радуга';Вне ВСП
84122;Дубенки, ул. Центральная, 19, магазин Пятерочка;Дубенки;ул. Центральная, 19;магазин Пятерочка;Вне ВСП
153868;Саранск, ул.Васенко, 9, ПАО  'Саранский приборостроительный завод';Саранск;ул.Васенко, 9;ПАО  'Саранский приборостроительный завод';З/П
186815;Саранск, ул. Коваленко,53а, Супермаркет 'EUROSPAR';Саранск;ул. Коваленко,53а;Супермаркет 'EUROSPAR';Вне ВСП
203707;Рузаевка, ул. Титова,7б, Павильон мини-офиса самообслуживания;Рузаевка;ул. Титова,7б;Павильон мини-офиса самообслуживания;Модуль самообслуживания
222645;Саранск, ул. Коммунистическая,32, Национальный банк РМ;Саранск;ул. Коммунистическая,32;Национальный банк РМ;З/П
224777;Саранск, ул.Мордовская,35, '103 Арсенал';Саранск;ул.Мордовская,35;'103 Арсенал';З/П
245855;с.Новое Акшино, ул.Центральная, 20а, Магазин 'Птица №36';с.Новое Акшино;ул.Центральная, 20а;Магазин 'Птица №36';Вне ВСП
248818;Саранск, п. Луховка,ул.Октябрьская,5б, м-н Пятерочка;Саранск;п. Луховка,ул.Октябрьская,5б;м-н Пятерочка;Вне ВСП
292012;Саранск, ул. Гагарина, 99а, Торговый центр 'МАКС';Саранск;ул. Гагарина, 99а;Торговый центр 'МАКС';Вне ВСП
292017;Саранск, ул. Косарева, 50, Рынок 'Заречный';Саранск;ул. Косарева, 50;Рынок 'Заречный';Вне ВСП
292022;Саранск, ул. Рабочая, 161, МП СаранскГорводоКанал;Саранск;ул. Рабочая, 161;МП СаранскГорводоКанал;З/П
292775;Саранск, ул.Центральня,7, Универсам 'Магнит';Саранск;ул.Центральня,7;Универсам 'Магнит';Вне ВСП
323178;Ковылкино, ул.Желябова,10, ООО 'ГорводоканалКовылкинский';Ковылкино;ул.Желябова,10;ООО 'ГорводоканалКовылкинский';Вне ВСП
323193;Саранск, ш.Лямбирско, 15, гипермаркет 'Наша Радуга';Саранск;ш.Лямбирско, 15;гипермаркет 'Наша Радуга';Вне ВСП
325550;Саранск, ш.Александровское, 13, ПАО 'Т+';Саранск;ш.Александровское, 13;ПАО 'Т+';З/П
343670;Саранск, проезд Промышленный, 1, ФКП 'Саранский механический завод';Саранск;проезд Промышленный, 1;ФКП 'Саранский механический завод';З/П
343922;Саранск, ул.Лодыгина, 3, Технопарк;Саранск;ул.Лодыгина, 3;Технопарк;З/П
361361;Саранск, ул. Коммунистическая,8, Павильон остановочного комплекса;Саранск;ул. Коммунистическая,8;Павильон остановочного комплекса;Модуль самообслуживания
361362;Саранск, ул. Коммунистическая,33, Дом финансов Республики Мордовия;Саранск;ул. Коммунистическая,33;Дом финансов Республики Мордовия;КИБ
361364;Саранск, ул. Полежаева,57, Центральный рынок;Саранск;ул. Полежаева,57;Центральный рынок;Вне ВСП
361365;Саранск, ул. Веселовского,13, М-Н Магнит;Саранск;ул. Веселовского,13;М-Н Магнит;Вне ВСП
361366;Саранск, пр-т 50 Лет Октября,22, Павильон остановочного комплекса;Саранск;пр-т 50 Лет Октября,22;Павильон остановочного комплекса;Модуль самообслуживания
371409;Рассказово, ул. Рассказова,16а, ООО 'Норов';Рассказово;ул. Рассказова,16а;ООО 'Норов';З/П
376764;Ковылкино, ул. Рабочая, 16, ПАО 'КЭМЗ';Ковылкино;ул. Рабочая, 16;ПАО 'КЭМЗ';З/П
389503;СТАРОЕ ШАЙГОВО, ул.Ленина,3, Универсам 'Магнит';СТАРОЕ ШАЙГОВО;ул.Ленина,3;Универсам 'Магнит';Вне ВСП
390119;Саранск, ул. Промышленная 1-я,4, ОАО 'Телевизионный завод';Саранск;ул. Промышленная 1-я,4;ОАО 'Телевизионный завод';З/П
390120;Теньгушево, пер. Больничный,1, Центральная районная больница;Теньгушево;пер. Больничный,1;Центральная районная больница;З/П
390122;Саранск,  ул.2-ая Промышленная,10а, ООО 'ЭМ-ПЛАСТ';Саранск; ул.2-ая Промышленная,10а;ООО 'ЭМ-ПЛАСТ';З/П
390123;Саранск, ул. Московская,115, Газпром;Саранск;ул. Московская,115;Газпром;З/П
390124;Саранск, Николаевка ул. Ленина,90, Торговый центр;Саранск;Николаевка ул. Ленина,90;Торговый центр;Вне ВСП
390125;Кочкурово, ул. Советская, 5а, м-н Пятерочка;Кочкурово;ул. Советская, 5а;м-н Пятерочка;Вне ВСП
390128;Комсомольский, ул. Пионерская,3, Центральная районная больница;Комсомольский;ул. Пионерская,3;Центральная районная больница;З/П
390130;Саранск, ул. Полежаева,120, Аптека 'Фармация';Саранск;ул. Полежаева,120;Аптека 'Фармация';Вне ВСП
390131;Ардатов, ул. К.маркса,84, Магазин 'Городок';Ардатов;ул. К.маркса,84;Магазин 'Городок';Вне ВСП
390132;Саранск, Ялга ул. Российская,27, Здание общежития МГУ;Саранск;Ялга ул. Российская,27;Здание общежития МГУ;Вне ВСП
390138;Большое Игнатово, ул. Советская,32, Административное здание;Большое Игнатово;ул. Советская,32;Административное здание;З/П
390147;Саранск, ул. Советская,35, Дом Республики;Саранск;ул. Советская,35;Дом Республики;З/П
390152;Саранск, пр-т Ленина,50, проходная Мордовского ф-ла ОАО 'ТГК-6';Саранск;пр-т Ленина,50;проходная Мордовского ф-ла ОАО 'ТГК-6';З/П
390154;Саранск, ул. Советская,26, Здание Госсобрания Республики Мордовия;Саранск;ул. Советская,26;Здание Госсобрания Республики Мордовия;З/П
390156;Краснослободск, ул. Кирова,76, Центральная районная больница;Краснослободск;ул. Кирова,76;Центральная районная больница;З/П
390157;Саранск, ул. Васенко,15а, Проходная ОАО 'Биохимик';Саранск;ул. Васенко,15а;Проходная ОАО 'Биохимик';З/П
390160;Саранск, ул. Л.толстого,4, Прокуратура Республики Мордовия;Саранск;ул. Л.толстого,4;Прокуратура Республики Мордовия;З/П
